001 | 003 | 三角魚        | 三角魚        | 其他魚類         | R1
090 | 084 | 鸚哥魚        | 鸚哥         | 礁棲觀賞類        | R3
091 | 085 | 泥鯭         | 泥鯭         | 近岸草食類        | R1
092 | 103 | 雀鯛         | 姑娘魚        | 鯛科/笛鯛類       | R1
093 | 086 | 三點雀鯛       | 三點姑娘魚      | 鯛科/笛鯛類       | R2
094 |  -- | 二長棘鯛       | 盤仔         | 鯛科/笛鯛類       | R2 ★NEW★
095 | 087 | 天竺鯛        | 天竺鯛        | 鯛科/笛鯛類       | R2
096 | 089 | 橫帶小鯛       | 橫帶小鱲       | 鯛科/笛鯛類       | R2
097 | 090 | 沙鯛         | 沙鱲         | 鯛科/笛鯛類       | R2
098 | 091 | 油鯛         | 油甘魚        | 鯛科/笛鯛類       | R2
099 | 093 | 牙點鯛        | 牙點鱲        | 鯛科/笛鯛類       | R2
100 | 094 | 白鯛         | 白鱲         | 鯛科/笛鯛類       | R2
101 | 095 | 約翰笛鯛       | 黃雞魚        | 鯛科/笛鯛類       | R2
102 | 097 | 紅鯛         | 紅鱲         | 鯛科/笛鯛類       | R2
103 | 099 | 赤鯛         | 赤鱲         | 鯛科/笛鯛類       | R2
104 | 100 | 金線鯛        | 紅衫         | 鯛科/笛鯛類       | R2
105 | 102 | 鋸緣雀鯛       | 鋸緣姑娘魚      | 鯛科/笛鯛類       | R2
106 | 104 | 馬友鯛        | 馬友鱲        | 鯛科/笛鯛類       | R2
107 | 105 | 黃尾笛鯛       | 黃尾紅友       | 鯛科/笛鯛類       | R2
108 | 106 | 黃尾雀鯛       | 黃尾姑娘魚      | 鯛科/笛鯛類       | R2
109 | 107 | 黃鰭鯛        | 黃腳鱲        | 鯛科/笛鯛類       | R2
110 | 108 | 黑沙鯛        | 黑沙鱲        | 鯛科/笛鯛類       | R2
111 | 109 | 黑鯛         | 烏頭鱲        | 鯛科/笛鯛類       | R2
112 | 088 | 星點笛鯛       | 星點紅友       | 鯛科/笛鯛類       | R3
113 | 096 | 紅樹笛鯛       | 紅衫公        | 鯛科/笛鯛類       | R3
114 | 098 | 羅素笛鯛       | 紅友         | 鯛科/笛鯛類       | R3
115 | 101 | 金線鯛王       | 大紅衫        | 鯛科/笛鯛類       | R3
116 | 092 | 火焰笛鯛       | 火焰紅友       | 鯛科/笛鯛類       | R4
117 |  -- | 五線笛鯛       | 五間畫眉       | 笛鯛科          | R2 ★NEW★
118 |  -- | 四間畫眉       | 四間畫眉       | 笛鯛科          | R2 ★NEW★
119 |  -- | 約氏笛鯛       | 約翰紅友       | 笛鯛科          | R3 ★NEW★
120 |  -- | 千年笛鯛       | 白點笛鯛       | 笛鯛科          | R4 ★NEW★
121 |  -- | 老鼠䱛        | 老鼠䱛        | 䱛/石首魚科       | R2 ★NEW★
122 |  -- | 雞蛋䱛        | 雞蛋䱛        | 䱛/石首魚科       | R2 ★NEW★
123 |  -- | 紅牙䱛        | 丁友         | 䱛/石首魚科       | R3 ★NEW★
124 |  -- | 鮸魚         | 米魚         | 䱛/石首魚科       | R3 ★NEW★
125 |  -- | 黃唇魚        | 金錢鮸        | 䱛/石首魚科       | R5 ★NEW★
126 |  -- | 中華烏塘鱧      | 黑咕咕        | 鱸科           | R2 ★NEW★
127 |  -- | 花尾胡椒鯛      | 花雞         | 鱸科           | R3 ★NEW★
128 |  -- | 火點         | 火點         | 鰍/鮋科         | R3 ★NEW★
129 |  -- | 石狗公        | 石狗公        | 鰍/鮋科         | R3 ★NEW★
130 |  -- | 深水石狗公      | 白斑菖鮋       | 鰍/鮋科         | R4 ★NEW★
131 |  -- | 真池魚        | 巴浪         | 鰺科           | R2 ★NEW★
132 |  -- | 紅瓜         | 甲鰺         | 鰺科           | R2 ★NEW★
133 |  -- | 脂眼凹肩鰺      | 鬼池魚        | 鰺科           | R2 ★NEW★
134 |  -- | 六帶鰺        | 木棉         | 鰺科           | R3 ★NEW★
135 |  -- | 浪花鰺        | GT         | 鰺科           | R5 ★NEW★
136 | 124 | 青鱗小沙丁      | 青鱗沙甸       | 鯖科           | R1
137 | 126 | 印度鯖        | 鯖魚         | 鯖科           | R2
138 | 127 | 日本鯖        | 鯖魚         | 鯖科           | R2
139 | 125 | 花鰹         | 花煙         | 鯖科           | R2
140 | 123 | 藍圓鰺        | 池仔         | 鰺科/洄游類       | R1
141 | 117 | 銀腹鯧鰺       | 鯧鰺         | 鰺科/洄游類       | R1
142 | 110 | 印度鯖        | 鯖魚         | 鰺科/洄游類       | R2
143 | 111 | 大眼竹筴魚      | 大眼竹筴       | 鰺科/洄游類       | R2
144 | 113 | 橙鰭銀腹鯧鰺     | 黃腳鯧鰺       | 鰺科/洄游類       | R2
145 | 115 | 細鱗竹筴魚      | 細鱗竹筴       | 鰺科/洄游類       | R2
146 | 116 | 金鰭鰺        | 金鰭瓜        | 鰺科/洄游類       | R2
147 | 119 | 馬拉巴鰺       | 白瓜         | 鰺科/洄游類       | R2
148 | 120 | 黃尾擬鰺       | 黃尾瓜        | 鰺科/洄游類       | R2
149 | 121 | 黃尾竹筴魚      | 竹筴         | 鰺科/洄游類       | R2
150 | 122 | 黃條鰺        | 黃條瓜        | 鰺科/洄游類       | R2
151 | 112 | 大眼竹筴魚王     | 竹筴王        | 鰺科/洄游類       | R3
152 | 114 | 紫胸馬加鰆      | 馬加鰆        | 鰺科/洄游類       | R3
153 | 118 | 長尾吞拿       | 吞拿         | 鰺科/洄游類       | R3
