id,common_zh,local_zh,sci,icon,photo_url,photo_path
fish-080,黑線石斑,黑線斑,,assets/fish/icons/generated/080.png,,
fish-081,龍膽石斑,龍躉,,assets/fish/icons/generated/081.png,,
fish-082,箱魨,箱魨,,assets/fish/icons/generated/082.png,,
fish-083,扳機魚,炮彈魚,,assets/fish/icons/generated/083.png,,
fish-084,橙點馬面魨,馬面,,assets/fish/icons/generated/084.png,,
fish-085,長帆馬面魨,長帆馬面,,assets/fish/icons/generated/085.png,,
fish-086,蝶魚,蝴蝶魚,,assets/fish/icons/generated/086.png,,
fish-087,鸚哥魚,鸚哥,,assets/fish/icons/generated/087.png,,
fish-088,泥鯭,泥鯭,,assets/fish/icons/generated/088.png,,
fish-089,三點雀鯛,三點姑娘魚,,assets/fish/icons/generated/089.png,,
fish-090,天竺鯛,天竺鯛,,assets/fish/icons/generated/090.png,,
fish-091,星點笛鯛,星點紅友,,assets/fish/icons/generated/091.png,,
fish-092,橫帶小鯛,橫帶小鱲,,assets/fish/icons/generated/092.png,,
fish-093,沙鯛,沙鱲,,assets/fish/icons/generated/093.png,,
fish-094,油鯛,油甘魚,,assets/fish/icons/generated/094.png,,
fish-095,火焰笛鯛,火焰紅友,,assets/fish/icons/generated/095.png,,
fish-096,牙點鯛,牙點鱲,,assets/fish/icons/generated/096.png,,
fish-097,白鯛,白鱲,,assets/fish/icons/generated/097.png,,
fish-098,約翰笛鯛,黃雞魚,,assets/fish/icons/generated/098.png,,
fish-099,紅樹笛鯛,紅衫公,,assets/fish/icons/generated/099.png,,
fish-100,紅鯛,紅鱲,,assets/fish/icons/generated/100.png,,
fish-101,羅素笛鯛,紅友,,assets/fish/icons/generated/101.png,,
fish-102,赤鯛,赤鱲,,assets/fish/icons/generated/102.png,,
fish-103,金線鯛,紅衫,,assets/fish/icons/generated/103.png,,
fish-104,金線鯛王,大紅衫,,assets/fish/icons/generated/104.png,,
fish-105,鋸緣雀鯛,鋸緣姑娘魚,,assets/fish/icons/generated/105.png,,
fish-106,雀鯛,姑娘魚,,assets/fish/icons/generated/106.png,,
fish-107,馬友鯛,馬友鱲,,assets/fish/icons/generated/107.png,,
fish-108,黃尾笛鯛,黃尾紅友,,assets/fish/icons/generated/108.png,,
fish-109,黃尾雀鯛,黃尾姑娘魚,,assets/fish/icons/generated/109.png,,
fish-110,黃鰭鯛,黃腳鱲,,assets/fish/icons/generated/110.png,,
fish-111,黑沙鯛,黑沙鱲,,assets/fish/icons/generated/111.png,,
fish-112,黑鯛,烏頭鱲,,assets/fish/icons/generated/112.png,,
fish-113,印度鯖,鯖魚,,assets/fish/icons/generated/113.png,,
fish-114,大眼竹筴魚,大眼竹筴,,assets/fish/icons/generated/114.png,,
fish-115,大眼竹筴魚王,竹筴王,,assets/fish/icons/generated/115.png,,
fish-116,橙鰭銀腹鯧鰺,黃腳鯧鰺,,assets/fish/icons/generated/116.png,,
fish-117,紫胸馬加鰆,馬加鰆,,assets/fish/icons/generated/117.png,,
fish-118,細鱗竹筴魚,細鱗竹筴,,assets/fish/icons/generated/118.png,,
fish-119,金鰭鰺,金鰭瓜,,assets/fish/icons/generated/119.png,,
fish-120,銀腹鯧鰺,鯧鰺,,assets/fish/icons/generated/120.png,,
fish-121,長尾吞拿,吞拿,,assets/fish/icons/generated/121.png,,
fish-122,馬拉巴鰺,白瓜,,assets/fish/icons/generated/122.png,,
fish-123,黃尾擬鰺,黃尾瓜,,assets/fish/icons/generated/123.png,,
fish-124,黃尾竹筴魚,竹筴,,assets/fish/icons/generated/124.png,,
fish-125,黃條鰺,黃條瓜,,assets/fish/icons/generated/125.png,,
