FisherGO 重新編號魚庫（含本地化俗名）
新數字 | 原數字 | 魚名 | 本地俗名
#072 | #041 | 獅子魚 | 火魚
#073 | #042 | 石頭魚 | 石狗公
#074 | #043 | 蠍子魚 | 蠍子魚
#075 | #007 | 橙點石斑 | 紅斑
#076 | #091 | 芝麻石斑 | 芝麻斑
#077 | #092 | 花頭石斑 | 花頭斑
#078 | #009 | 香港石斑 | 青斑
#079 | #008 | 馬拉巴石斑 | 老虎斑
#080 | #089 | 黑線石斑 | 黑線斑
#081 | #093 | 龍膽石斑 | 龍躉
#082 | #079 | 箱魨 | 箱魨
#083 | #078 | 扳機魚 | 炮彈魚
#084 | #046 | 橙點馬面魨 | 馬面
#085 | #073 | 長帆馬面魨 | 長帆馬面
#086 | #075 | 蝶魚 | 蝴蝶魚
#087 | #077 | 鸚哥魚 | 鸚哥
#088 | #011 | 泥鯭 | 泥鯭
#089 | #113 | 三點雀鯛 | 三點姑娘魚
#090 | #074 | 天竺鯛 | 天竺鯛
#091 | #095 | 星點笛鯛 | 星點紅友
#092 | #117 | 橫帶小鯛 | 橫帶小鱲
#093 | #052 | 沙鯛 | 沙鱲
#094 | #053 | 油鯛 | 油甘魚
#095 | #081 | 火焰笛鯛 | 火焰紅友
#096 | #082 | 牙點鯛 | 牙點鱲
#097 | #085 | 白鯛 | 白鱲
#098 | #006 | 約翰笛鯛 | 黃雞魚
#099 | #005 | 紅樹笛鯛 | 紅衫公
#100 | #051 | 紅鯛 | 紅鱲
#101 | #004 | 羅素笛鯛 | 紅友
#102 | #086 | 赤鯛 | 赤鱲
#103 | #003 | 金線鯛 | 紅衫
#104 | #087 | 金線鯛王 | 大紅衫
#105 | #114 | 鋸緣雀鯛 | 鋸緣姑娘魚
#106 | #076 | 雀鯛 | 姑娘魚
#107 | #054 | 馬友鯛 | 馬友鱲
#108 | #120 | 黃尾笛鯛 | 黃尾紅友
#109 | #112 | 黃尾雀鯛 | 黃尾姑娘魚
#110 | #001 | 黃鰭鯛 | 黃腳鱲
#111 | #084 | 黑沙鯛 | 黑沙鱲
#112 | #002 | 黑鯛 | 烏頭鱲
#113 | #034 | 印度鯖 | 鯖魚
#114 | #101 | 大眼竹筴魚 | 大眼竹筴
#115 | #104 | 大眼竹筴魚王 | 竹筴王
#116 | #029 | 橙鰭銀腹鯧鰺 | 黃腳鯧鰺
#117 | #125 | 紫胸馬加鰆 | 馬加鰆
#118 | #055 | 細鱗竹筴魚 | 細鱗竹筴
#119 | #030 | 金鰭鰺 | 金鰭瓜
#120 | #028 | 銀腹鯧鰺 | 鯧鰺
#121 | #037 | 長尾吞拿 | 吞拿
#122 | #031 | 馬拉巴鰺 | 白瓜
#123 | #111 | 黃尾擬鰺 | 黃尾瓜
#124 | #032 | 黃尾竹筴魚 | 竹筴
#125 | #096 | 黃條鰺 | 黃條瓜
