new_id,old_id,fish_name,local_name,status,before_scientificName,after_scientificName_from_old_id,afcdId
022,064,沙甸魚,沙甸,FIXED,'Harpadon nehereus','Sardinella aurita','AFCD-064'
023,105,油魚,油甘魚,FIXED,null,'Ruvettus pretiosus','AFCD-105'
024,070,海鯽,海鯽,FIXED,'Nemipterus virgatus','Gerres simillimus','AFCD-070'
025,049,海鱔,海鱔,FIXED,'Umbrina roncador','Gymnothorax undulatus','AFCD-049'
026,047,獨角革魨,剝皮魚,FIXED,'Pennahia macrocephala','Aluterus monoceros','AFCD-047'
027,045,白點竹鯊,狗仔鯊,FIXED,null,'Chiloscyllium plagiosum','AFCD-045'
028,033,皇帝魚,皇帝魚,FIXED,'Leiognathus equula','Scomberoides lysan','AFCD-033'
029,121,短吻飛魚,飛魚,FIXED,'Photopectoralis bindus',null,'AFCD-121'
030,060,石首魚,石首,FIXED,'Gnathanodon speciosus','Helotes octolineatus','AFCD-060'
031,035,窄帶馬鮫,馬鮫,FIXED,'Platycaranx malabaricus','Scomberomorus commerson','AFCD-035'
032,083,紅魔鬼岩魚,紅魔鬼,FIXED,'Trachurus novaezelandiae',null,'AFCD-083'
033,059,羊魚,鬚鯛,FIXED,'Scomberoides lysan','Upeneichthys porosus','AFCD-059'
034,099,羊魚（鬚）,鬚羊魚,FIXED,'Rastrelliger kanagurta',null,'AFCD-099'
035,107,花生魚,花生魚,FIXED,'Scomberomorus commerson',null,'AFCD-107'
036,036,花鰹,花煙,OK,'Euthynnus affinis','Euthynnus affinis','AFCD-036'
037,056,蛋斑隆頭魚,青衣,FIXED,'Thunnus tonggol',null,'AFCD-056'
038,100,角聲魚,角聲,FIXED,'Parastromateus niger',null,'AFCD-100'
039,010,豹紋珊瑚鱸,東星斑,FIXED,'Pampus argenteus','Plectropomus leopardus','AFCD-010'
040,106,連米銀腹魚,連米魚,FIXED,'Diodon holocanthus',null,'AFCD-106'
041,027,里夫黃姑魚,花黃姑,FIXED,'Pterois volitans',null,'AFCD-027'
042,016,金目鱸,金目鱸,FIXED,'Synanceia verrucosa','Lates calcarifer','AFCD-016'
043,024,金線馬頭魚,紅衫馬頭,FIXED,'Scorpaena porcus','Nemipterus virgatus','AFCD-024'
044,062,銀鯡,鯡魚,FIXED,'Hypanus americanus','Gerres subfasciatus','AFCD-062'
045,039,銀鯧,白鯧,FIXED,'Chiloscyllium plagiosum','Pampus argenteus','AFCD-039'
046,058,銀鱚,沙鑽,FIXED,'Cantherhines pullus','Sillago argentifasciata','AFCD-058'
047,103,青鱗小沙丁,青鱗沙甸,FIXED,'Aluterus monoceros',null,'AFCD-103'
048,019,髭尾扁頭魚,牛鰍魚,FIXED,'Asterorhombus cocosensis','Platycephalus indicus','AFCD-019'
049,080,鮣魚,貼魚,FIXED,'Gymnothorax undulatus','Remora remora','AFCD-080'
050,063,鯷魚,鯷仔,FIXED,'Conger conger','Engraulis australis','AFCD-063'
051,108,鰶魚,鰶魚,FIXED,'Pagrus major','Dorosoma cepedianum','AFCD-108'
052,025,黃姑魚,黃花魚,FIXED,null,'Umbrina roncador','AFCD-025'
053,090,黃甲魚,黃甲,OK,null,null,'AFCD-090'
054,102,黑帶金鼓,黑帶金鼓,FIXED,null,'Neoscorpis lithophilus','AFCD-102'
055,109,黑邊銀鯽,黑邊銀鯽,FIXED,'Alepes apercna',null,'AFCD-109'
056,038,黑鯧,黑鯧,FIXED,null,'Parastromateus niger','AFCD-038'
057,057,鼠尾隆頭魚,老鼠斑衣,OK,null,null,'AFCD-057'
058,119,龍舟魚,龍舟,FIXED,'Sillago argentifasciata',null,'AFCD-119'
059,067,半嘴魚,半嘴,FIXED,'Upeneichthys porosus','Hemiramphus far','AFCD-067'
060,066,針魚,針魚,FIXED,'Helotes octolineatus','Petalichthys capensis','AFCD-066'
061,122,青針魚,青針,FIXED,'Terapon puta',null,'AFCD-122'
062,048,比目魚,左口魚,FIXED,'Gerres subfasciatus','Asterorhombus cocosensis','AFCD-048'
063,069,海鯰,海塘蝨,FIXED,'Engraulis australis','Genidens barbus','AFCD-069'
064,014,大鱗烏頭,大眼烏頭,FIXED,'Sardinella aurita','Ellochelon vaigiensis','AFCD-014'
065,072,彈塗魚,彈塗,FIXED,'Sphyraena barracuda','Periophthalmus barbarus','AFCD-072'
066,013,灰烏頭,烏頭,FIXED,'Petalichthys capensis','Chelon labrosus','AFCD-013'
067,021,狗母魚,狗母,FIXED,'Hemiramphus far','Synodus variegatus','AFCD-021'
068,123,花狗母魚,花狗母,FIXED,'Tandanus tandanus',null,'AFCD-123'
069,071,鰕虎魚,狗公魚,FIXED,'Genidens barbus','Neogobius melanostomus','AFCD-071'
070,068,鰻尾鯰,海塘蝨,FIXED,'Gerres simillimus','Tandanus tandanus','AFCD-068'
071,050,康吉鰻,星鰻,FIXED,'Neogobius melanostomus','Conger conger','AFCD-050'
072,041,獅子魚,火魚,FIXED,'Periophthalmus barbarus','Pterois volitans','AFCD-041'
073,042,石頭魚,石狗公,FIXED,'Stephanolepis cirrhifer','Synanceia verrucosa','AFCD-042'
074,043,蠍子魚,蠍子魚,FIXED,'Apogon imberbis','Scorpaena porcus','AFCD-043'
075,007,橙點石斑,紅斑,FIXED,'Chaetodon marleyi','Epinephelus coioides','AFCD-007'
076,091,芝麻石斑,芝麻斑,FIXED,'Chromis chromis',null,'AFCD-091'
077,092,花頭石斑,花頭斑,FIXED,'Sparisoma viride',null,'AFCD-092'
078,009,香港石斑,青斑,FIXED,'Balistoides viridescens','Epinephelus akaara','AFCD-009'
079,008,馬拉巴石斑,老虎斑,FIXED,'Ostracion cubicum','Epinephelus malabaricus','AFCD-008'
080,089,黑線石斑,黑線斑,FIXED,'Remora remora',null,'AFCD-089'
081,093,龍膽石斑,龍躉,FIXED,'Etelis coruscans','Epinephelus lanceolatus','AFCD-093'
082,079,箱魨,箱魨,FIXED,null,'Ostracion cubicum','AFCD-079'
083,078,扳機魚,炮彈魚,FIXED,null,'Balistoides viridescens','AFCD-078'
084,046,橙點馬面魨,馬面,FIXED,null,'Cantherhines pullus','AFCD-046'
085,073,長帆馬面魨,長帆馬面,FIXED,'Diplodus lineatus','Stephanolepis cirrhifer','AFCD-073'
086,075,蝶魚,蝴蝶魚,FIXED,null,'Chaetodon marleyi','AFCD-075'
087,077,鸚哥魚,鸚哥,FIXED,null,'Sparisoma viride','AFCD-077'
088,011,泥鯭,泥鯭,FIXED,'Jordanella floridae','Siganus fuscescens','AFCD-011'
089,113,三點雀鯛,三點姑娘魚,OK,null,null,'AFCD-113'
090,074,天竺鯛,天竺鯛,FIXED,null,'Apogon imberbis','AFCD-074'
091,095,星點笛鯛,星點紅友,FIXED,null,'Lutjanus stellatus','AFCD-095'
092,117,橫帶小鯛,橫帶小鱲,FIXED,null,'Labrus viridis','AFCD-117'
093,052,沙鯛,沙鱲,FIXED,'Epinephelus lanceolatus',null,'AFCD-052'
094,053,油鯛,油甘魚,FIXED,'Plectorhinchus flavomaculatus',null,'AFCD-053'
095,081,火焰笛鯛,火焰紅友,FIXED,'Lutjanus stellatus','Etelis coruscans','AFCD-081'
096,082,牙點鯛,牙點鱲,FIXED,'Selaroides leptolepis',null,'AFCD-082'
097,085,白鯛,白鱲,FIXED,'Sillaginodes punctatus','Diplodus lineatus','AFCD-085'
098,006,約翰笛鯛,黃雞魚,FIXED,'Sebastes caurinus',null,'AFCD-006'
099,005,紅樹笛鯛,紅衫公,FIXED,null,'Lutjanus argentimaculatus','AFCD-005'
100,051,紅鯛,紅鱲,FIXED,null,'Pagrus major','AFCD-051'
101,004,羅素笛鯛,紅友,FIXED,null,'Lutjanus russellii','AFCD-004'
102,086,赤鯛,赤鱲,FIXED,'Neoscorpis lithophilus',null,'AFCD-086'
103,003,金線鯛,紅衫,FIXED,null,'Rhabdosargus sarba','AFCD-003'
104,087,金線鯛王,大紅衫,FIXED,'Selar crumenophthalmus',null,'AFCD-087'
105,114,鋸緣雀鯛,鋸緣姑娘魚,FIXED,'Ruvettus pretiosus',null,'AFCD-114'
106,076,雀鯛,姑娘魚,FIXED,null,'Chromis chromis','AFCD-076'
107,054,馬友鯛,馬友鱲,OK,null,null,'AFCD-054'
108,120,黃尾笛鯛,黃尾紅友,FIXED,'Dorosoma cepedianum','Caesio cuning','AFCD-120'
109,112,黃尾雀鯛,黃尾姑娘魚,FIXED,null,'Microspathodon chrysurus','AFCD-112'
110,001,黃鰭鯛,黃腳鱲,FIXED,null,'Acanthopagrus latus','AFCD-001'
111,084,黑沙鯛,黑沙鱲,OK,null,null,'AFCD-084'
112,002,黑鯛,烏頭鱲,FIXED,'Microspathodon chrysurus','Spondyliosoma cantharus','AFCD-002'
113,034,印度鯖,鯖魚,FIXED,null,'Rastrelliger kanagurta','AFCD-034'
114,101,大眼竹筴魚,大眼竹筴,OK,null,null,'AFCD-101'
115,104,大眼竹筴魚王,竹筴王,FIXED,'Eucinostomus gula','Selar crumenophthalmus','AFCD-104'
116,029,橙鰭銀腹鯧鰺,黃腳鯧鰺,FIXED,null,'Photopectoralis bindus','AFCD-029'
117,125,紫胸馬加鰆,馬加鰆,FIXED,'Labrus viridis','Rhinomuraena quaesita','AFCD-125'
118,055,細鱗竹筴魚,細鱗竹筴,FIXED,null,'Alepes apercna','AFCD-055'
119,030,金鰭鰺,金鰭瓜,FIXED,null,'Gnathanodon speciosus','AFCD-030'
120,028,銀腹鯧鰺,鯧鰺,FIXED,'Caesio cuning','Leiognathus equula','AFCD-028'
121,037,長尾吞拿,吞拿,FIXED,null,'Thunnus tonggol','AFCD-037'
122,031,馬拉巴鰺,白瓜,FIXED,null,'Platycaranx malabaricus','AFCD-031'
123,111,黃尾擬鰺,黃尾瓜,OK,null,null,'AFCD-111'
124,032,黃尾竹筴魚,竹筴,FIXED,null,'Trachurus novaezelandiae','AFCD-032'
125,096,黃條鰺,黃條瓜,FIXED,'Rhinomuraena quaesita','Selaroides leptolepis','AFCD-096'
