id,num,common_zh,local_zh,icon,query_en,wiki_title,photo_url,photo_path
fish-030,030,石首魚,石首,assets/fish/icons/generated/030.png,,,,
fish-031,031,窄帶馬鮫,馬鮫,assets/fish/icons/generated/031.png,,,,
fish-032,032,紅魔鬼岩魚,紅魔鬼,assets/fish/icons/generated/032.png,,,,
fish-033,033,羊魚,鬚鯛,assets/fish/icons/generated/033.png,,,,
fish-034,034,羊魚（鬚）,鬚羊魚,assets/fish/icons/generated/034.png,,,,
fish-035,035,花生魚,花生魚,assets/fish/icons/generated/035.png,,,,
fish-036,036,花鰹,花煙,assets/fish/icons/generated/036.png,,,,
fish-037,037,蛋斑隆頭魚,青衣,assets/fish/icons/generated/037.png,,,,
fish-038,038,角聲魚,角聲,assets/fish/icons/generated/038.png,,,,
fish-039,039,豹紋珊瑚鱸,東星斑,assets/fish/icons/generated/039.png,,,,
fish-040,040,連米銀腹魚,連米魚,assets/fish/icons/generated/040.png,,,,
fish-041,041,里夫黃姑魚,花黃姑,assets/fish/icons/generated/041.png,,,,
fish-042,042,金目鱸,金目鱸,assets/fish/icons/generated/042.png,,,,
fish-043,043,金線馬頭魚,紅衫馬頭,assets/fish/icons/generated/043.png,,,,
fish-044,044,銀鯡,鯡魚,assets/fish/icons/generated/044.png,,,,
fish-045,045,銀鯧,白鯧,assets/fish/icons/generated/045.png,,,,
fish-046,046,銀鱚,沙鑽,assets/fish/icons/generated/046.png,,,,
fish-047,047,青鱗小沙丁,青鱗沙甸,assets/fish/icons/generated/047.png,,,,
fish-048,048,髭尾扁頭魚,牛鰍魚,assets/fish/icons/generated/048.png,,,,
fish-049,049,鮣魚,貼魚,assets/fish/icons/generated/049.png,,,,
fish-050,050,鯷魚,鯷仔,assets/fish/icons/generated/050.png,,,,
fish-051,051,鰶魚,鰶魚,assets/fish/icons/generated/051.png,red seabream,red seabream,https://upload.wikimedia.org/wikipedia/commons/3/34/Redseabreamji1.jpg,data\fish_audit2\photos\051.jpg
fish-052,052,黃姑魚,黃花魚,assets/fish/icons/generated/052.png,sand seabream,Black seabream,https://upload.wikimedia.org/wikipedia/commons/a/ae/Chopa_%28Spondyliosoma_cantharus%29%2C_Parque_natural_de_la_Arr%C3%A1bida%2C_Portugal%2C_2020-07-21%2C_DD_57.jpg,data\fish_audit2\photos\052.jpg
fish-053,053,黃甲魚,黃甲,assets/fish/icons/generated/053.png,oil seabream,,,
fish-054,054,黑帶金鼓,黑帶金鼓,assets/fish/icons/generated/054.png,threadfin seabream,,,
fish-055,055,黑邊銀鯽,黑邊銀鯽,assets/fish/icons/generated/055.png,small scad,,,
fish-056,056,黑鯧,黑鯧,assets/fish/icons/generated/056.png,egg wrasse,,,
fish-057,057,鼠尾隆頭魚,老鼠斑衣,assets/fish/icons/generated/057.png,mouse wrasse,,,
fish-058,058,龍舟魚,龍舟,assets/fish/icons/generated/058.png,silver sillago,,,
fish-059,059,半嘴魚,半嘴,assets/fish/icons/generated/059.png,goatfish,,,
fish-060,060,針魚,針魚,assets/fish/icons/generated/060.png,grunt,,,
fish-061,061,青針魚,青針,assets/fish/icons/generated/061.png,small banded grunter,,,
fish-062,062,比目魚,左口魚,assets/fish/icons/generated/062.png,silver biddy,,,
fish-063,063,海鯰,海塘蝨,assets/fish/icons/generated/063.png,anchovy,,,
fish-064,064,大鱗烏頭,大眼烏頭,assets/fish/icons/generated/064.png,sardinella,,,
fish-065,065,彈塗魚,彈塗,assets/fish/icons/generated/065.png,barracuda,,,
fish-066,066,灰烏頭,烏頭,assets/fish/icons/generated/066.png,needlefish,,,
fish-067,067,狗母魚,狗母,assets/fish/icons/generated/067.png,halfbeak,,,
fish-068,068,花狗母魚,花狗母,assets/fish/icons/generated/068.png,eeltail catfish,,,
fish-069,069,鰕虎魚,狗公魚,assets/fish/icons/generated/069.png,sea catfish,,,
fish-070,070,鰻尾鯰,海塘蝨,assets/fish/icons/generated/070.png,mojarra,,,
fish-071,071,康吉鰻,星鰻,assets/fish/icons/generated/071.png,goby,,,
fish-072,072,獅子魚,火魚,assets/fish/icons/generated/072.png,mudskipper,,,
fish-073,073,石頭魚,石狗公,assets/fish/icons/generated/073.png,thread sail filefish,,,
fish-074,074,蠍子魚,蠍子魚,assets/fish/icons/generated/074.png,cardinalfish,,,
fish-075,075,橙點石斑,紅斑,assets/fish/icons/generated/075.png,butterflyfish,,,
fish-076,076,芝麻石斑,芝麻斑,assets/fish/icons/generated/076.png,damselfish,,,
fish-077,077,花頭石斑,花頭斑,assets/fish/icons/generated/077.png,parrotfish,,,
fish-078,078,香港石斑,青斑,assets/fish/icons/generated/078.png,triggerfish,,,
fish-079,079,馬拉巴石斑,老虎斑,assets/fish/icons/generated/079.png,boxfish,,,
fish-080,080,黑線石斑,黑線斑,assets/fish/icons/generated/080.png,remora,,,
fish-081,081,龍膽石斑,龍躉,assets/fish/icons/generated/081.png,flame snapper,,,
fish-082,082,箱魨,箱魨,assets/fish/icons/generated/082.png,tooth spotted seabream,,,
fish-083,083,扳機魚,炮彈魚,assets/fish/icons/generated/083.png,red devil rockfish,,,
fish-084,084,橙點馬面魨,馬面,assets/fish/icons/generated/084.png,black sand seabream,,,
fish-085,085,長帆馬面魨,長帆馬面,assets/fish/icons/generated/085.png,white seabream,,,
fish-086,086,蝶魚,蝴蝶魚,assets/fish/icons/generated/086.png,red seabream aka,,,
fish-087,087,鸚哥魚,鸚哥,assets/fish/icons/generated/087.png,gold thread seabream,,,
fish-088,088,泥鯭,泥鯭,assets/fish/icons/generated/088.png,flagfish,,,
fish-089,089,三點雀鯛,三點姑娘魚,assets/fish/icons/generated/089.png,blackline grouper,,,
fish-090,090,天竺鯛,天竺鯛,assets/fish/icons/generated/090.png,yellow nail,,,
fish-091,091,星點笛鯛,星點紅友,assets/fish/icons/generated/091.png,sesame grouper,,,
fish-092,092,橫帶小鯛,橫帶小鱲,assets/fish/icons/generated/092.png,flower head grouper,,,
fish-093,093,沙鯛,沙鱲,assets/fish/icons/generated/093.png,giant grouper,,,
fish-094,094,油鯛,油甘魚,assets/fish/icons/generated/094.png,spotted sweetlips,,,
fish-095,095,火焰笛鯛,火焰紅友,assets/fish/icons/generated/095.png,star snapper,,,
fish-096,096,牙點鯛,牙點鱲,assets/fish/icons/generated/096.png,yellowstripe trevally,,,
fish-097,097,白鯛,白鱲,assets/fish/icons/generated/097.png,spotted sillago,,,
fish-098,098,約翰笛鯛,黃雞魚,assets/fish/icons/generated/098.png,rockfish,,,
fish-099,099,紅樹笛鯛,紅衫公,assets/fish/icons/generated/099.png,goatfish wrasp,,,
fish-100,100,紅鯛,紅鱲,assets/fish/icons/generated/100.png,croaker gwak,,,
fish-101,101,羅素笛鯛,紅友,assets/fish/icons/generated/101.png,red three knife,,,
fish-102,102,赤鯛,赤鱲,assets/fish/icons/generated/102.png,stone bream,,,
fish-103,103,金線鯛,紅衫,assets/fish/icons/generated/103.png,french threadfin,,,
fish-104,104,金線鯛王,大紅衫,assets/fish/icons/generated/104.png,bigeye scad,,,
fish-105,105,鋸緣雀鯛,鋸緣姑娘魚,assets/fish/icons/generated/105.png,oilfish,,,
fish-106,106,雀鯛,姑娘魚,assets/fish/icons/generated/106.png,ponyfishes linmai,,,
fish-107,107,馬友鯛,馬友鱲,assets/fish/icons/generated/107.png,peanut fish,,,
fish-108,108,黃尾笛鯛,黃尾紅友,assets/fish/icons/generated/108.png,gizzard shad,,,
fish-109,109,黃尾雀鯛,黃尾姑娘魚,assets/fish/icons/generated/109.png,ten lined scad,,,
fish-110,110,黃鰭鯛,黃腳鱲,assets/fish/icons/generated/110.png,three whisker fish,,,
fish-111,111,黑沙鯛,黑沙鱲,assets/fish/icons/generated/111.png,bigeye pomfret,,,
fish-112,112,黑鯛,烏頭鱲,assets/fish/icons/generated/112.png,yellowtail damselfish,,,
fish-113,113,印度鯖,鯖魚,assets/fish/icons/generated/113.png,three spot damselfish,,,
fish-114,114,大眼竹筴魚,大眼竹筴,assets/fish/icons/generated/114.png,white head wrasse,Slippery dick,https://upload.wikimedia.org/wikipedia/commons/1/1e/Slippery_Dick_Wrasse_-_Halichoeres_bivittatus_%28cropped%29.jpg,data\fish_audit2\photos\114.jpg
fish-115,115,大眼竹筴魚王,竹筴王,assets/fish/icons/generated/115.png,silver mojarra,Mojarra,https://upload.wikimedia.org/wikipedia/commons/4/49/Kurosagi1201.jpg,data\fish_audit2\photos\115.jpg
fish-116,116,橙鰭銀腹鯧鰺,黃腳鯧鰺,assets/fish/icons/generated/116.png,biting blenny,,,
fish-117,117,紫胸馬加鰆,馬加鰆,assets/fish/icons/generated/117.png,green wrasse,,,
fish-118,118,細鱗竹筴魚,細鱗竹筴,assets/fish/icons/generated/118.png,triangle fish,,,
fish-119,119,金鰭鰺,金鰭瓜,assets/fish/icons/generated/119.png,dragon boat fish,,,
fish-120,120,銀腹鯧鰺,鯧鰺,assets/fish/icons/generated/120.png,yellowtail fusilier,,,
fish-121,121,長尾吞拿,吞拿,assets/fish/icons/generated/121.png,small scad subadult,,,
fish-122,122,馬拉巴鰺,白瓜,assets/fish/icons/generated/122.png,green needlefish,,,
fish-123,123,黃尾擬鰺,黃尾瓜,assets/fish/icons/generated/123.png,flower lizardfish,,,
fish-124,124,黃尾竹筴魚,竹筴,assets/fish/icons/generated/124.png,daggertooth pike conger,,,
fish-125,125,黃條鰺,黃條瓜,assets/fish/icons/generated/125.png,ribbon eel,,,
