name,district_or_note,source
Fu Wong Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Fun Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Green Island (),Central & Western,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ha So Pai (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Hau Tsz Kok Pai (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Hei Ling Chau (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Hin Pai (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Hok Tsai Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Hong Kong Island (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Hung Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kai Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Kat O (, Crooked Island)",North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kau Pei Chau (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kau Sai Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kau Yi Chau (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kiu Tau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Kiu Tsui Chau (, Sharp Island)",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ko Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kok Tai Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kong Tau Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kowloon Rock (),Kowloon City,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kung Chau (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kwun Cham Wan (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kwun Tsai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lak Lei Tsai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lamma Island (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lan Shuen Pei (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lan Tau Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lantau Island (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lap Sap Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Little Green Island (),Central & Western,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lo Chau (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lo Chi Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lo Fu Tiu Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lo Shue Pai (),Eastern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Loaf Rock (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Luk Chau (), formerly George I.",Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lung Kwu Chau (),Tuen Mun,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lung Shan Pai (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lung Shuen Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lut Chau (),Yuen Long,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ma Shi Chau (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ma Tsai Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ma Wan (),Tsuen Wan,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ma Yan Pai (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Magazine Island (, Fo Yeuk Chau)",Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Mei Pai (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Middle Island (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Mong Chau Tsai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Moon Island (, Mo Chau)",Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Muk Yue Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Nam Fung Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ng Fan Chau (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Nga Ying Chau (),Sai Kung Southeast to Ching Chau (),Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Nga Ying Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ngam Hau Shek (),Tsuen Wan,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ngan Chau (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ngau Shi Pui (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ngau Tau Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Ngo Mei Chau (, Crescent Island)",North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ninepin Group (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
North Ninepin Island (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sai Chau Mei (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Shue Long Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai Chau Mei (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tuen Chau Chai (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Pak Chau (),Tuen Mun,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Pak Ka Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Pak Ma Tsui Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Pak Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Pak Sha Chau (, Round Island)",North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Pak Sha Chau (, White Sand Island)",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Pat Ka Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Peaked Hill (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Peng Chau (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Pearl Island (),Tuen Mun,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Pin Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ping Chau (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ping Min Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Po Pin Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Po Toi Islands (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Castle Rock (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Beaufort Island (, Lo Chau)",,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Mat Chau (), an islet off Po Toi Island",,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Mat Chau Pai (), an islet off Mat Chau",,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Po Toi Island (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sai Pai (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
San Pai (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sung Kong (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai Pai (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Waglan Island (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Po Yue Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Pun Shan Shek (),Tsuen Wan,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Pyramid Rock (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Round Island (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sai Ap Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sam Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sam Pui Chau (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sha Chau (),Tuen Mun,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sha Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Sha Tong Hau (, Bluff Island)",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sham Shui Pai (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Shau Kei Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Shek Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Shek Kwu Chau (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Shek Ngau Chau (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Shelter Island (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sheung Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Shui Cham Tsui Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Shui Pai (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Siu Kau Yi Chau (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Siu Nim Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Siu Tsan Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Soko Islands (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Cheung Muk Tau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ma Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Siu A Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai A Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tau Lo Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wan Hau Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wu Yeung Chau Pai (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Yuen Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Yuen Kong Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Steep Island (, Ching Chau)",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Sunshine Island (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Ta Ho Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai Lei (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai Nim Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai O (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai Tau Chau (Sai Kung District) (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai Tau Chau (Southern District) (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai Tsan Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tang Chau (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tang Lung Chau (),Tsuen Wan,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Tap Mun Chau (, Grass Island)",Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tau Chau (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
The Brothers (),Tuen Mun,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Siu Mo To (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tai Mo To (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tsz Kan Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tit Cham Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tit Shue Pai (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Tiu Chung Chau (, Jin Island)",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tiu Chung Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tong Hau Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tong Yan Pai (),Southern,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Town Island (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Trio Island (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tsim Chau Group,Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tsim Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Tsing Chau (, Table Island)",North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tsing Yi Island (),Kwai Tsing,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tsui Pai (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tuen Tau Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tung Lung Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tung Sam Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wai Chau Pai (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wai Kap Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wang Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wang Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wo Sheung Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wong Mau Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wong Nai Chau Tsai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wong Nai Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Wong Wan Chau (, Double Island)",North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wong Wan Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wong Yi Chau (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wu Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wu Pai (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Wu Ying Pai (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Yan Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Yau Lung Kok (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Yeung Chau (),North,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Yeung Chau (), Sheep Island",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Yi Long Pai (),Islands,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Yi Pai (),Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Yim Tin Tsai (),Tai Po,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Yim Tin Tsai (, Little Salt Field)",Sai Kung,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Channel Rock,Kowloon City – now a part of the Kai Tak former airport runway,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Chau Tsai,"absorbed by reclaimed land of Tsing Yi Island, near CRC Oil Depot of Nam Wan Kok",Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Fat Tong Chau (, Junk Island)","now a part of Tseung Kwan O, Sai Kung as a result of land reclamation",Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Hoi Sham Island,Kowloon City (also To Kwa Wan Island) – now part of Hoi Sham Park in To Kwa Wan as a result of reclamation,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Kellett Island,"now part of Causeway Bay as a result of gradual land reclamation, Eastern",Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
La Ka Chau (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Lam Chau,Islands – now assimilated with Chek Lap Kok into the airport platform and connected to Lantau by two bridges,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Leung Shuen Wan (, High Island), Sai Kung",connected to the mainland to form the High Island Reservoir,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Mong Chau,"an island off the hill of Lai King, buried under the Terminal 2 of the Container Terminal",Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Mouse Island,"an island in Sam Shing, Tuen Mun and now a part of Mouse Island Children's Playground",Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Nga Ying Chau,"now at the northeast corner of Tsing Yi Island as a result of land reclamation, which name was preserved in the street name nearby ""Nga Ying Chau Street""",Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Rumsey Rock,now a part of shore between Tsim Sha Tsui East and Hung Hom,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Stonecutters Island,"a former island, now part of the Kowloon Peninsula, following land reclamation",Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
"Tsing Chau, or Pillar Island","absorbed into reclaimed land of Gin Drinkers Bay or Lap Sap Wan. It is at Kwai Chung, next to Tsing Yi Bridge",Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Tung Tau Chau (),connected to the mainland to form the Plover Cove Reservoir,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Yuen Chau Tsai (),,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Un Chau,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
Careening Island,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
New Wing of Hong Kong Convention and Exhibition Centre,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
